Time	Channel A	Channel B
(ms)	(V)	(V)

-50.02189000	0.44935450	0.45338300
-50.00909000	0.44041260	0.43540760
-49.99629000	0.42255930	0.41746270
-49.98349000	0.41361740	0.40845970
-49.97069000	0.39576400	0.39051490
-49.95789000	0.37791070	0.38154240
-49.94509000	0.36005740	0.36356700
-49.93229000	0.35111550	0.34562210
-49.91949000	0.33326210	0.32764670
-49.90669000	0.32432020	0.30970180
-49.89389000	0.30646690	0.30069890
-49.88109000	0.28861360	0.28275400
-49.86829000	0.27072970	0.27378150
-49.85549000	0.25287640	0.24683370
-49.84269000	0.23502300	0.22885830
-49.82989000	0.21716970	0.21988590
-49.81709000	0.19928590	0.20194100
-49.80429000	0.18143250	0.17499310
-49.79149000	0.16357920	0.16602070
-49.77869000	0.14572590	0.14804530
-49.76589000	0.11893060	0.12109740
-49.75309000	0.10104680	0.10315260
-49.74029000	0.08319346	0.08517716
-49.72749000	0.06537065	0.06723227
-49.71469000	0.04751732	0.04028443
-49.70189000	0.02963347	0.02233955
-49.68909000	0.00283822	0.00439467
-49.67629000	-0.01501511	-0.01358074
-49.66349000	-0.03286843	-0.03152562
-49.65069000	-0.05072176	-0.05847346
-49.63789000	-0.06860561	-0.07641835
-49.62509000	-0.09537034	-0.09439375
-49.61229000	-0.11325420	-0.11233860
-49.59949000	-0.13110750	-0.13928650
-49.58669000	-0.14896080	-0.15726190
-49.57389000	-0.17575610	-0.17520680
-49.56109000	-0.19360940	-0.19318220
-49.54829000	-0.21149330	-0.21112700
-49.53549000	-0.22934660	-0.22910240
-49.52269000	-0.24719990	-0.24704730
-49.50989000	-0.27399520	-0.26502270
-49.49709000	-0.29184850	-0.28296760
-49.48429000	-0.30970180	-0.30991550
-49.47149000	-0.32758570	-0.31888790
-49.45869000	-0.34543900	-0.34583570
-49.44589000	-0.36329230	-0.35480820
-49.43309000	-0.38114570	-0.37278360
-49.42029000	-0.39008760	-0.39970090
-49.40749000	-0.41688280	-0.40870390
-49.39469000	-0.43473620	-0.42664880
-49.38189000	-0.44367810	-0.44462420
-49.36909000	-0.46153140	-0.46256910
-49.35629000	-0.47938480	-0.47154150
-49.34349000	-0.48832670	-0.48951690
-49.33069000	-0.50618000	-0.50746180
-49.31789000	-0.51512190	-0.51646470
-49.30509000	-0.53297530	-0.53440960
-49.29229000	-0.54191710	-0.54338200
-49.27949000	-0.55977050	-0.55238500
-49.26669000	-0.55977050	-0.57032990
-49.25389000	-0.57762380	-0.57930240
-49.24109000	-0.58656570	-0.58830530
-49.22829000	-0.59547720	-0.58830530
-49.21549000	-0.60441910	-0.60625020
-49.20269000	-0.60441910	-0.60625020
-49.18989000	-0.61336100	-0.61522260
-49.17709000	-0.62227240	-0.62422560
-49.16429000	-0.63121430	-0.62422560
-49.15149000	-0.64015630	-0.63319800
-49.13869000	-0.64015630	-0.64217050
-49.12589000	-0.64015630	-0.64217050
-49.11309000	-0.64015630	-0.64217050
-49.10029000	-0.64015630	-0.64217050
-49.08749000	-0.64015630	-0.64217050
-49.07469000	-0.64906760	-0.65114290
-49.06189000	-0.64906760	-0.65114290
-49.04909000	-0.64015630	-0.64217050
-49.03629000	-0.64015630	-0.64217050
-49.02349000	-0.64015630	-0.64217050
-49.01069000	-0.64015630	-0.63319800
-48.99789000	-0.63121430	-0.62422560
-48.98509000	-0.63121430	-0.62422560
-48.97229000	-0.62227240	-0.61522260
-48.95949000	-0.61336100	-0.61522260
-48.94669000	-0.60441910	-0.60625020
-48.93389000	-0.59547720	-0.59727780
-48.92109000	-0.58656570	-0.58830530
-48.90829000	-0.57762380	-0.57930240
-48.89549000	-0.56871240	-0.57032990
-48.88269000	-0.55977050	-0.56135740
-48.86989000	-0.55082860	-0.55238500
-48.85709000	-0.53297530	-0.53440960
-48.84429000	-0.52403330	-0.51646470
-48.83149000	-0.50618000	-0.50746180
-48.81869000	-0.49726860	-0.48951690
-48.80589000	-0.47938480	-0.47154150
-48.79309000	-0.46153140	-0.46256910
-48.78029000	-0.45258950	-0.44462420
-48.76749000	-0.43473620	-0.43562120
-48.75469000	-0.42582480	-0.41767630
-48.74189000	-0.39902950	-0.39970090
-48.72909000	-0.39008760	-0.39072850
-48.71629000	-0.37223430	-0.36378060
-48.70349000	-0.35438090	-0.35480820
-48.69069000	-0.33649710	-0.33686330
-48.67789000	-0.31864370	-0.30991550
-48.66509000	-0.30079040	-0.29194010
-48.65229000	-0.28293710	-0.27399520
-48.63949000	-0.26505320	-0.25601980
-48.62669000	-0.23825800	-0.23807490
-48.61389000	-0.22040470	-0.22009950
